pop_name,CMD_gs,CMD_sp,CMD_sm,Tave_gs,Tave_sp,Tave_sm,latitude,elevation,longitude,range_position,bFFP
BBU,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139
BFF,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146
BRD,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113
CRE,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110
FUR,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154
GPN,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117
HES,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127
JCP,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128
KAB,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131
LIC,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130
LRR,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154
MEB,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141
OGP,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121
PMS,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145
STM,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146
SUC,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146
TIC,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135
